country,revenue,orders,customers,avg_order_value
United Kingdom,7308391.5540000005,16646,3920,439.04791265168814
Netherlands,285446.33999999997,94,9,3036.6631914893615
EIRE,265545.9,260,3,1021.3303846153847
Germany,228867.14,457,94,500.8033698030635
France,209024.05,389,87,537.3368894601542
Australia,138521.31,57,9,2430.1984210526316
Spain,61577.11,90,30,684.1901111111112
Switzerland,56443.950000000004,51,21,1106.7441176470588
Belgium,41196.34,98,25,420.3708163265306
Sweden,38378.33,36,8,1066.0647222222224
Japan,37416.37,19,8,1969.2826315789475
Norway,36165.44,36,10,1004.5955555555556
Portugal,33439.89,57,19,586.6647368421053
Finland,22546.08,41,12,549.9043902439025
Singapore,21279.29,7,1,3039.8985714285714
Channel Islands,20450.44,26,9,786.5553846153846
Denmark,18955.34,18,9,1053.0744444444445
Italy,17483.24,38,14,460.08526315789476
Cyprus,13590.38,16,8,849.39875
Austria,10198.68,17,11,599.9223529411765
Poland,7334.65,19,6,386.03421052631575
Israel,7221.6900000000005,5,3,1444.3380000000002
Greece,4760.5199999999995,5,4,952.1039999999999
Iceland,4310.0,7,1,615.7142857142857
Canada,3666.38,6,4,611.0633333333334
USA,3580.39,5,4,716.078
Malta,2725.59,5,2,545.118
Unspecified,2667.07,8,4,333.38375
United Arab Emirates,1902.28,3,2,634.0933333333334
Lebanon,1693.88,1,1,1693.88
Lithuania,1661.06,4,1,415.265
European Community,1300.25,4,1,325.0625
Brazil,1143.6,1,1,1143.6
RSA,1002.31,1,1,1002.31
Czech Republic,826.74,2,1,413.37
Bahrain,548.4,2,2,274.2
Saudi Arabia,145.92,1,1,145.92
